Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
19.0,48.0,228.0,70.0,0.89,0.8,0.85,1.04,0.84,0.85,leftdown,right_yokomuki

15.0,26.0,33.0,17.0,0.89,0.81,0.86,0.88,0.96,0.85,centerdown,aomuke
22.0,24.0,35.0,33.0,0.89,0.8,0.86,0.87,1.0,0.85,centerdown,aomuke
33.0,33.0,37.0,55.0,0.89,0.81,0.85,0.88,1.01,0.85,centerdown,left_yokomuki
33.0,33.0,37.0,55.0,0.89,0.8,0.85,0.87,1.01,0.85,centerdown,left_yokomuki
37.0,17.0,30.0,79.0,0.89,0.8,0.85,0.87,1.0,0.85,centerdown,right_yokomuki
37.0,17.0,30.0,79.0,0.89,0.8,0.85,0.87,1.0,0.,centerdown,right_yokomuki

28.0,92.0,11.0,103.0,0.89,0.8,0.87,0.87,0.88,0.93,rightdown,aomuke
26.0,83.0,8.0,107.0,0.89,0.8,0.87,0.87,0.88,0.93,rightdown,aomuke
22.0,127.0,6.0,143.0,0.89,0.8,0.86,0.87,0.85,0.99,rightdown,left_yokomuki
2.0,6.0,0.0,132.0,0.89,0.8,0.86,0.87,0.85,0.93,rightdown,left_yokomuki
2.0,59.0,6.0,215.0,0.89,0.81,0.85,0.87,0.85,0.96,rightdown,right_yokomuki
6.0,59.0,4.0,209.0,0.89,0.8,0.85,0.87,0.85,0.95,rightdown,right_yokomuki

178.0,48.0,90.0,59.0,0.89,0.8,0.84,1.03,0.84,0.85,leftdown,aomuke
178.0,46.0,94.0,70.0,0.89,0.81,0.83,1.05,0.84,0.85,leftdown,aomuke
178.0,46.0,85.0,70.0,0.89,0.8,0.83,1.05,0.84,0.85,leftdown,aomuke
180.0,48.0,61.0,90.0,0.89,0.8,0.83,1.05,0.84,0.85,leftdown,left_yokomuki
180.0,48.0,61.0,85.0,0.89,0.8,0.83,1.06,0.84,0.85,leftdown,left_yokomuki
180.0,48.0,61.0,83.0,0.89,0.8,0.83,1.05,0.84,0.85,leftdown,left_yokomuki
180.0,46.0,70.0,77.0,0.89,0.8,0.84,1.05,0.84,0.85,leftdown,right_yokomuki
178.0,46.0,70.0,70.0,0.89,0.8,0.83,1.05,0.84,0.85,leftdown,right_yokomuki
180.0,46.0,68.0,66.0,0.89,0.8,0.83,1.05,0.84,0.85,leftdown,right_yokomuki

178.0,11.0,33.0,173.0,0.88,0.79,0.82,0.85,1.01,0.84,centerdown,aomuke
178.0,6.0,33.0,173.0,0.88,0.79,0.82,0.85,1.02,0.83,centerdown,aomuke
178.0,15.0,37.0,173.0,0.88,0.79,0.82,0.85,1.01,0.84,centerdown,aomuke
176.0,0.0,35.0,178.0,0.89,0.8,0.83,0.89,1.03,0.85,centerdown,left_yokomuki
176.0,2.0,46.0,178.0,0.89,0.8,0.83,0.89,1.03,0.84,centerdown,left_yokomuki
176.0,2.0,52.0,178.0,0.89,0.8,0.84,0.88,1.03,0.84,centerdown,left_yokomuki
176.0,4.0,46.0,178.0,0.89,0.81,0.83,0.88,1.0,0.85,centerdown,right_yokomuki
176.0,2.0,46.0,178.0,0.89,0.81,0.84,0.89,0.99,0.85,centerdown,right_yokomuki

50.0,61.0,26.0,66.0,0.89,0.81,0.83,0.88,0.84,1.02,rightdown,aomuke
50.0,61.0,26.0,66.0,0.89,0.81,0.83,0.88,0.84,1.02,rightdown,aomuke
50.0,61.0,26.0,66.0,0.89,0.81,0.83,0.88,0.84,1.03,rightdown,aomuke
22.0,101.0,22.0,17.0,0.89,0.8,0.83,0.88,0.84,1.04,rightdown,left_yokomuki
22.0,101.0,22.0,19.0,0.89,0.8,0.83,0.88,0.84,1.04,rightdown,left_yokomuki
22.0,101.0,22.0,17.0,0.89,0.8,0.83,0.88,0.84,1.04,rightdown,left_yokomuki
55.0,85.0,26.0,8.0,0.89,0.8,0.84,0.88,0.85,1.01,rightdown,right_yokomuki
46.0,85.0,26.0,19.0,0.89,0.8,0.83,0.87,0.85,1.0,rightdown,right_yokomuki
55.0,81.0,26.0,8.0,0.89,0.8,0.83,0.87,0.85,1.0,rightdown,right_yokomuki


176.0,39.0,66.0,132.0,0.89,0.8,0.84,1.06,0.84,0.85,leftdown,aomuke
176.0,41.0,70.0,125.0,0.89,0.8,0.84,1.06,0.84,0.85,leftdown,aomuke
176.0,44.0,112.0,92.0,0.89,0.8,0.83,1.03,0.84,0.85,leftdown,left_yokomuki
176.0,44.0,110.0,92.0,0.89,0.81,0.84,1.02,0.85,0.85,leftdown,left_yokomuki
176.0,46.0,136.0,92.0,0.89,0.8,0.84,1.02,0.85,0.85,leftdown,left_yokomuki
176.0,33.0,15.0,105.0,0.89,0.8,0.84,1.05,0.85,0.85,leftdown,right_yokomuki
176.0,33.0,15.0,105.0,0.89,0.81,0.84,1.05,0.85,0.85,leftdown,right_yokomuki


184.0,15.0,41.0,180.0,0.89,0.8,0.84,0.87,1.11,0.85,centerdown,aomuke
184.0,15.0,44.0,180.0,0.89,0.81,0.85,0.88,1.11,0.85,centerdown,aomuke
184.0,17.0,44.0,180.0,0.89,0.81,0.84,0.87,1.11,0.85,centerdown,aomuke
180.0,198.0,992.0,165.0,0.89,0.81,0.84,0.87,1.06,0.85,centerdown,left_yokomuki
182.0,50.0,17.0,173.0,0.89,0.81,0.84,0.87,1.06,0.85,centerdown,left_yokomuki
182.0,50.0,17.0,173.0,0.89,0.8,0.84,0.87,1.06,0.85,centerdown,left_yokomuki
184.0,17.0,81.0,180.0,0.89,0.81,0.83,0.88,0.96,0.85,centerdown,right_yokomuki
184.0,17.0,77.0,180.0,0.89,0.81,0.84,0.87,0.97,0.85,centerdown,right_yokomuki
184.0,15.0,74.0,180.0,0.89,0.81,0.84,0.88,0.96,0.85,centerdown,right_yokomuki

26.0,88.0,24.0,13.0,0.89,0.8,0.84,0.87,0.83,1.02,rightdown,aomuke
28.0,85.0,24.0,11.0,0.89,0.8,0.84,0.87,0.83,1.03,rightdown,aomuke
30.0,103.0,24.0,72.0,0.88,0.8,0.83,0.85,0.83,0.96,rightdown,left_yokomuki
46.0,99.0,24.0,70.0,0.88,0.8,0.83,0.85,0.83,0.97,rightdown,left_yokomuki
55.0,77.0,22.0,30.0,0.89,0.81,0.84,0.87,0.85,0.98,rightdown,right_yokomuki
57.0,74.0,22.0,26.0,0.89,0.81,0.84,0.87,0.85,0.99,rightdown,right_yokomuki
59.0,72.0,19.0,22.0,0.89,0.81,0.84,0.87,0.85,0.99,rightdown,right_yokomuki

182.0,55.0,24.0,94.0,0.89,0.8,0.84,1.03,0.84,0.85,leftdown,aomuke
182.0,57.0,61.0,103.0,0.89,0.8,0.85,1.01,0.85,0.85,leftdown,aomuke
182.0,55.0,22.0,96.0,0.89,0.81,0.85,1.04,0.85,0.85,leftdown,aomuke
182.0,48.0,70.0,77.0,0.89,0.81,0.84,1.03,0.85,0.85,leftdown,left_yokomuki
182.0,50.0,63.0,70.0,0.89,0.81,0.84,1.03,0.84,0.85,leftdown,left_yokomuki
182.0,50.0,55.0,74.0,0.89,0.8,0.84,1.03,0.84,0.85,leftdown,left_yokomuki
182.0,57.0,66.0,37.0,0.89,0.81,0.84,1.0,0.85,0.85,leftdown,left_yokomuki
182.0,59.0,57.0,33.0,0.89,0.8,0.85,1.0,0.85,0.85,leftdown,left_yokomuki
182.0,57.0,55.0,37.0,0.89,0.8,0.84,1.01,0.85,0.85,leftdown,left_yokomuki


182.0,4.0,22.0,167.0,0.89,0.81,0.85,0.88,1.03,0.85,centerdown,aomuke
182.0,4.0,22.0,167.0,0.89,0.81,0.84,0.88,1.03,0.85,centerdown,aomuke
